2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.sun.jersey:jersey-client::1.19.1, was also in node: null
2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.sun.jersey.contribs:jersey-apache-client4::1.19.1, was also in node: null
2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.apache.httpcomponents:httpcore::4.4.15, was also in node: null
2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading commons-configuration:commons-configuration::1.10, was also in node: null
2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading commons-lang:commons-lang::2.6, was also in node: null
2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.google.inject:guice::4.1.0, was also in node: null
2022-05-23 20:01:25,521 [  54587]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.codehaus.jettison:jettison::1.4.0, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.sun.jersey:jersey-servlet::1.19.4, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.sun.jersey:jersey-server::1.19.4, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.sun.jersey:jersey-core::1.19.4, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.sun.jersey:jersey-client::1.19.4, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.netflix.eureka:eureka-core::1.10.17, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.fasterxml.woodstox:woodstox-core::6.2.1, was also in node: null
2022-05-23 20:01:25,522 [  54588]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.codehaus.woodstox:stax2-api::4.2.1, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.fasterxml.jackson.dataformat:jackson-dataformat-xml::2.13.1, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.fasterxml.woodstox:woodstox-core::6.2.7, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.cloud:spring-cloud-starter-loadbalancer::3.1.0, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.cloud:spring-cloud-loadbalancer::3.1.0, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading io.projectreactor:reactor-core::3.4.14, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.reactivestreams:reactive-streams::1.0.3, was also in node: null
2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading io.projectreactor.addons:reactor-extra::3.4.6, was also in node: null
